采集日期,日报截屏上送时长（小时）,原始上送时长（小时）,原始上送时长（分钟）,运营端不合格时长（小时）,运营端不合格时长（分钟）,不合格时长占比,数据记录差异,设备ID,采集点,采集点对接人
2025-11-20,2.33,3.99,239.2,0.0,0.0,0.0%,1.66,8dfb,宁波,罗圣峰
2025-11-20,0.0,1.81,108.7,0.66,39.65,36.46%,1.81,8f4a,,
2025-11-20,4.75,4.26,255.7,0.48,29.0,11.27%,-0.49,c0e4,丰县,江伊潭
2025-11-20,6.25,6.03,362.0,2.59,155.65,42.95%,-0.22,c6c1,希利,罗圣峰
2025-11-20,0.5,0.65,39.1,0.0,0.0,0.0%,0.15,d70d,杭州风之末,江伊潭
2025-11-20,6.25,6.27,376.5,1.4,84.25,22.33%,0.02,d94e,希利,罗圣峰
2025-11-20,6.25,6.21,372.7,0.28,17.1,4.51%,-0.04,e5cb,希利,罗圣峰
2025-11-20,5.0,5.0,300.3,0.94,56.2,18.8%,0.0,e5fb,丰县,江伊潭
2025-11-20,3.5,0.0,,,,,-3.5,f016,武汉,贺子豪
2025-11-20,0.0,3.49,209.7,1.94,116.2,55.59%,3.49,f061,,
2025-11-21,4.25,4.29,257.5,0.4,23.85,9.32%,0.04,0fe4,武汉,贺子豪
2025-11-21,4.25,6.66,399.6,1.01,60.35,15.17%,2.41,17fd,丰县,江伊潭
2025-11-21,6.5,6.46,387.9,0.55,33.15,8.51%,-0.04,3a7e,希利,罗圣峰
2025-11-21,0.0,3.93,235.9,0.56,33.75,14.25%,3.93,4813,,
2025-11-21,6.5,6.21,372.5,0.75,44.75,12.08%,-0.29,4ad7,希利,罗圣峰
2025-11-21,8.0,3.54,212.6,0.6,35.75,16.95%,-4.46,4e97,东莞,贺子豪
2025-11-21,8.0,11.78,706.6,0.5,30.25,4.24%,3.78,4f46,东莞,贺子豪
2025-11-21,8.0,0.0,,,,,-8.0,57ff,遇见个超市,贺子豪
2025-11-21,8.0,8.01,480.5,3.22,193.0,40.2%,0.01,6790,遇见个超市,贺子豪
2025-11-21,0.0,0.06,3.3,0.0,0.0,0.0%,0.06,8dfb,,
2025-11-21,0.0,0.0,0.2,0.0,0.2,,0.0,8f4a,,
2025-11-21,2.75,5.93,355.8,0.4,24.25,6.75%,3.18,c0e4,丰县,江伊潭
2025-11-21,6.5,6.19,371.4,0.62,37.15,10.02%,-0.31,c6c1,希利,罗圣峰
2025-11-21,0.0,0.77,46.5,0.22,13.25,28.57%,0.77,d70d,,
2025-11-21,6.5,6.47,388.0,0.97,58.25,14.99%,-0.03,d94e,希利,罗圣峰
2025-11-21,6.5,6.21,372.4,1.25,75.0,20.13%,-0.29,e5cb,希利,罗圣峰
2025-11-21,5.0,10.36,621.6,1.42,85.25,13.71%,5.36,e5fb,丰县,江伊潭
2025-11-21,1.0,0.0,,,,,-1.0,f016,武汉,贺子豪
2025-11-21,0.0,2.06,123.6,0.2,12.25,9.71%,2.06,f061,,
2025-11-21,0.0,0.01,0.4,0.01,0.4,100.0%,0.01,fbdb,,
2025-11-22,2.5,4.58,275.1,2.45,147.25,53.49%,2.08,17fd,丰县,江伊潭
2025-11-22,8.0,5.88,352.6,1.62,97.4,27.55%,-2.12,4e97,东莞,贺子豪
2025-11-22,8.0,4.06,243.4,0.18,10.5,4.43%,-3.94,4f46,东莞,贺子豪
2025-11-22,8.0,1.33,80.0,0.04,2.5,3.01%,-6.67,57ff,遇见个超市,贺子豪
2025-11-22,8.0,8.02,481.1,1.47,88.25,18.33%,0.02,6790,遇见个超市,贺子豪
2025-11-22,0.0,3.51,210.8,2.85,171.1,81.2%,3.51,8dfb,,
2025-11-22,5.71,3.63,217.9,0.96,57.75,26.45%,-2.08,c0e4,丰县,江伊潭
2025-11-22,5.25,2.15,129.0,0.0,0.0,0.0%,-3.1,e5fb,丰县,江伊潭
2025-11-22,0.0,0.23,14.1,0.23,14.1,100.0%,0.23,fbdb,,
2025-11-23,0.0,2.97,178.2,0.0,0.0,0.0%,2.97,17fd,,
2025-11-23,0.0,4.81,288.9,4.73,284.1,98.34%,4.81,4813,,
2025-11-23,0.0,0.5,30.0,0.07,4.0,14.0%,0.5,4e97,,
2025-11-23,3.0,0.0,,,,,-3.0,57ff,遇见个超市,贺子豪
2025-11-23,8.0,8.02,481.3,0.0,0.0,0.0%,0.02,6790,遇见个超市,贺子豪
2025-11-23,0.0,0.01,0.8,0.01,0.8,100.0%,0.01,8dfb,,
2025-11-23,0.0,2.92,175.4,0.0,0.0,0.0%,2.92,c0e4,,
2025-11-23,0.0,2.9,173.8,0.0,0.0,0.0%,2.9,e5fb,,
2025-11-24,2.0,1.89,113.4,1.0,60.0,52.91%,-0.11,0fe4,武汉,贺子豪
2025-11-24,5.0,0.9,53.8,0.0,0.0,0.0%,-4.1,17fd,丰县,江伊潭
2025-11-24,6.25,6.32,379.1,0.4,23.7,6.33%,0.07,3a7e,希利,罗圣峰
2025-11-24,3.7,3.68,221.1,0.95,57.0,25.82%,-0.02,4813,宁波,罗圣峰
2025-11-24,6.25,6.2,372.2,0.71,42.7,11.45%,-0.05,4ad7,希利,罗圣峰
2025-11-24,8.0,4.18,251.1,0.36,21.5,8.61%,-3.82,4e97,东莞,贺子豪
2025-11-24,8.0,7.91,474.7,0.25,14.9,3.16%,-0.09,4f46,东莞,贺子豪
2025-11-24,1.0,0.0,,,,,-1.0,57ff,遇见个超市,贺子豪
2025-11-24,8.0,8.03,481.7,0.13,7.95,1.62%,0.03,6790,遇见个超市,贺子豪
2025-11-24,5.12,0.0,,,,,-5.12,7cf6,丰县,江伊潭
2025-11-24,0.0,0.99,59.5,0.5,29.85,50.51%,0.99,821e,,
2025-11-24,3.3,3.33,200.0,3.33,200.0,100.0%,0.03,8dfb,宁波,罗圣峰
2025-11-24,0.0,1.01,60.9,0.02,1.1,1.98%,1.01,8f4a,,
2025-11-24,3.6,0.49,29.6,0.0,0.0,0.0%,-3.11,c0e4,丰县,江伊潭
2025-11-24,6.25,6.37,382.1,0.64,38.35,10.05%,0.12,c6c1,希利,罗圣峰
2025-11-24,6.25,6.18,370.6,1.44,86.25,23.3%,-0.07,d94e,希利,罗圣峰
2025-11-24,6.25,6.17,370.5,0.67,40.5,10.86%,-0.08,e5cb,希利,罗圣峰
