原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/14,691f,2025-12-14,691f,表1,True
2025/12/14,3fb3,2025-12-14,3fb3,表1,True
2025/12/15,cbcd,2025-12-15,cbcd,表1,True
2025/12/15,e2be,2025-12-15,e2be,表1,True
2025/12/16,cda9,2025-12-16,cda9,表1,True
2025/12/16,1af9,2025-12-16,1af9,表1,True
2025/12/16,691f,2025-12-16,691f,表1,True
2025/12/16,3fb3,2025-12-16,3fb3,表1,True
2025/12/16,5c12,2025-12-16,5c12,表1,True
2025/12/16,cbcd,2025-12-16,cbcd,表1,True
2025/12/16,e2be,2025-12-16,e2be,表1,True
2025/12/16,52a2,2025-12-16,52a2,表1,True
2025/12/17,cda9,2025-12-17,cda9,表1,True
2025/12/17,1af9,2025-12-17,1af9,表1,True
2025/12/17,691f,2025-12-17,691f,表1,True
2025/12/17,3fb3,2025-12-17,3fb3,表1,True
2025/12/17,5c12,2025-12-17,5c12,表1,True
2025/12/17,cbcd,2025-12-17,cbcd,表1,True
2025/12/17,e2be,2025-12-17,e2be,表1,True
2025/12/17,52a2,2025-12-17,52a2,表1,True
2025/12/18,cda9,2025-12-18,cda9,表1,True
2025/12/18,1af9,2025-12-18,1af9,表1,True
2025/12/18,691f,2025-12-18,691f,表1,True
2025/12/18,3fb3,2025-12-18,3fb3,表1,True
2025/12/18,5c12,2025-12-18,5c12,表1,True
2025/12/18,cbcd,2025-12-18,cbcd,表1,True
2025/12/18,e2be,2025-12-18,e2be,表1,True
2025/12/18,52a2,2025-12-18,52a2,表1,True
2025/12/18,6210,2025-12-18,6210,表1,True
2025/12/18,64c2,2025-12-18,64c2,表1,True
2025/12/18,3bef,2025-12-18,3bef,表1,True
2025/12/19,cda9,2025-12-19,cda9,表1,True
2025/12/19,1af9,2025-12-19,1af9,表1,True
2025/12/19,691f,2025-12-19,691f,表1,True
2025/12/19,3fb3,2025-12-19,3fb3,表1,True
2025/12/19,5c12,2025-12-19,5c12,表1,True
2025/12/19,dcfe,2025-12-19,dcfe,表1,True
2025/12/19,e2be,2025-12-19,e2be,表1,True
2025/12/19,c828,2025-12-19,c828,表1,True
2025/12/19,6210,2025-12-19,6210,表1,True
2025/12/19,64c2,2025-12-19,64c2,表1,True
2025/12/19,3bef,2025-12-19,3bef,表1,True
2025/12/20,cda9,2025-12-20,cda9,表1,True
2025/12/20,1af9,2025-12-20,1af9,表1,True
2025/12/20,691f,2025-12-20,691f,表1,True
2025/12/20,3fb3,2025-12-20,3fb3,表1,True
2025/12/20,5c12,2025-12-20,5c12,表1,True
2025/12/20,dcfe,2025-12-20,dcfe,表1,True
2025/12/20,c828,2025-12-20,c828,表1,True
2025/12/21,dcfe,2025-12-21,dcfe,表1,True
2025/12/21,c828,2025-12-21,c828,表1,True
